freq,s_adj,age,sex,unit,geo\TIME_PERIOD	2023-01 	2023-02 	2023-03 	2023-04 	2023-05 	2023-06 	2023-07 	2023-08 	2023-09 	2023-10 	2023-11 	2023-12 
M,SA,TOTAL,T,PC_ACT,MT	3.0 	2.9 	2.8 	2.6 	2.5 	2.4 	2.4 	2.5 	2.6 	2.5 	2.5 	: 
M,SA,TOTAL,T,PC_ACT,NL	3.6 	3.5 	3.5 	3.4 	3.5 	3.5 	3.6 	3.6 	3.7 	3.6 	3.5 	: 
M,SA,TOTAL,T,PC_ACT,NO	3.6 	3.8 	3.8 	3.6 	3.1 	3.4 	3.6 	3.6 	3.5 	3.7 	3.7 	: 
M,SA,TOTAL,T,PC_ACT,PL	2.7 	2.6 	2.7 	2.7 	2.8 	2.8 	2.8 	2.8 	2.8 	2.8 	2.8 	: 
M,SA,TOTAL,T,PC_ACT,PT	7.0 	6.9 	6.8 	6.5 	6.4 	6.3 	6.3 	6.3 	6.6 	6.6 	6.6 	: 
M,SA,TOTAL,T,PC_ACT,RO	5.6 	5.5 	5.5 	5.5 	5.5 	5.6 	5.6 	5.5 	5.5 	5.4 	5.4 	: 
M,SA,TOTAL,T,PC_ACT,SE	7.3 	7.7 	7.3 	7.2 	7.2 	8.0 	7.1 	8.1 	8.1 	7.9 	7.9 	: 
M,SA,TOTAL,T,PC_ACT,SI	3.5 	3.6 	3.6 	3.7 	3.8 	3.8 	3.8 	3.8 	3.9 	4.1 	4.2 	: 
M,SA,TOTAL,T,PC_ACT,SK	6.0 	6.0 	6.0 	5.9 	5.9 	5.9 	5.8 	5.8 	5.8 	5.8 	5.8 	: 
M,SA,TOTAL,T,PC_ACT,TR	9.8 	10.1 	10.0 	10.0 	9.4 	9.5 	9.3 	9.1 	9.0 	8.5 	: 	: 
M,SA,TOTAL,T,PC_ACT,US	3.4 	3.6 	3.5 	3.4 	3.7 	3.6 	3.5 	3.8 	3.8 	3.9 	3.7 	: 
